Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,645,54,85.18518518518519,46,452,139,8,0.8518518518518519,0.24864864864864866
TestSet.csv,Access Control,True,True,645,76,81.57894736842105,62,360,209,14,0.8157894736842105,0.22878228782287824
TestSet.csv,Arithmetic,True,True,645,45,82.22222222222221,37,460,140,8,0.8222222222222222,0.20903954802259886
TestSet.csv,Unchecked Return Values,True,True,645,116,57.758620689655174,67,519,10,49,0.5775862068965517,0.8701298701298701
TestSet.csv,DoS,True,True,645,38,31.57894736842105,12,544,63,26,0.3157894736842105,0.16
TestSet.csv,Bad Randomness,True,True,645,4,25.0,1,618,23,3,0.25,0.041666666666666664
TestSet.csv,Front-Running,True,True,645,34,73.52941176470588,25,453,158,9,0.7352941176470589,0.1366120218579235
TestSet.csv,Time manipulation,True,True,645,35,80.0,28,539,71,7,0.8,0.2828282828282828
