Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,645,54,64.81481481481481,35,457,134,19,0.6481481481481481,0.20710059171597633
TestSet.csv,Access Control,True,True,645,76,82.89473684210526,63,217,352,13,0.8289473684210527,0.15180722891566265
TestSet.csv,Arithmetic,True,False,645,45,0.0,0,600,0,45,0.0,
TestSet.csv,Unchecked Return Values,True,True,645,116,75.0,87,406,123,29,0.75,0.4142857142857143
TestSet.csv,DoS,True,True,645,38,23.684210526315788,9,549,58,29,0.23684210526315788,0.13432835820895522
TestSet.csv,Bad Randomness,True,True,645,4,25.0,1,631,10,3,0.25,0.09090909090909091
TestSet.csv,Front-Running,True,False,645,34,0.0,0,611,0,34,0.0,
TestSet.csv,Time manipulation,True,True,645,35,97.14285714285714,34,459,151,1,0.9714285714285714,0.1837837837837838
