Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,645,54,1.8518518518518516,1,583,8,53,0.018518518518518517,0.1111111111111111
TestSet.csv,Access Control,True,True,645,76,3.9473684210526314,3,569,0,73,0.039473684210526314,1.0
TestSet.csv,Arithmetic,True,True,645,45,0.0,0,600,0,45,0.0,
TestSet.csv,Unchecked Return Values,True,False,645,116,0.0,0,529,0,116,0.0,
TestSet.csv,DoS,True,False,645,38,0.0,0,607,0,38,0.0,
TestSet.csv,Bad Randomness,True,True,645,4,0.0,0,637,4,4,0.0,0.0
TestSet.csv,Front-Running,True,False,645,34,0.0,0,611,0,34,0.0,
TestSet.csv,Time manipulation,True,False,645,35,0.0,0,610,0,35,0.0,
