Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,645,54,100.0,54,313,278,0,1.0,0.16265060240963855
TestSet.csv,Access Control,True,True,645,76,97.36842105263158,74,100,469,2,0.9736842105263158,0.13627992633517497
TestSet.csv,Arithmetic,True,True,645,45,97.77777777777777,44,216,384,1,0.9777777777777777,0.102803738317757
TestSet.csv,Unchecked Return Values,True,True,645,116,76.72413793103449,89,388,141,27,0.7672413793103449,0.3869565217391304
TestSet.csv,DoS,True,True,645,38,68.42105263157895,26,423,184,12,0.6842105263157895,0.12380952380952381
TestSet.csv,Bad Randomness,True,True,645,4,75.0,3,569,72,1,0.75,0.04
TestSet.csv,Front-Running,True,True,645,34,73.52941176470588,25,453,158,9,0.7352941176470589,0.1366120218579235
TestSet.csv,Time manipulation,True,True,645,35,97.14285714285714,34,459,151,1,0.9714285714285714,0.1837837837837838
