Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,645,54,100.0,54,373,218,0,1.0,0.19852941176470587
TestSet.csv,Access Control,True,True,645,76,78.94736842105263,60,257,312,16,0.7894736842105263,0.16129032258064516
TestSet.csv,Arithmetic,True,True,645,45,8.88888888888889,4,547,53,41,0.08888888888888889,0.07017543859649122
TestSet.csv,Unchecked Return Values,True,True,645,116,76.72413793103449,89,422,107,27,0.7672413793103449,0.45408163265306123
TestSet.csv,DoS,True,True,645,38,63.1578947368421,24,507,100,14,0.631578947368421,0.1935483870967742
TestSet.csv,Bad Randomness,True,True,645,4,25.0,1,586,55,3,0.25,0.017857142857142856
TestSet.csv,Front-Running,True,False,645,34,0.0,0,611,0,34,0.0,
TestSet.csv,Time manipulation,True,True,645,35,97.14285714285714,34,493,117,1,0.9714285714285714,0.2251655629139073
