contractAddress,Mythril_Labels,Mythril_AnalysisTime,Mythril_SWC_Code,Mythril_SWC_Title,Mythril_DASP_Rank,Mythril_DASP_Title
68274dd0420f2a50c800c48696c56aee,safe,319.675730917,[],[],[],[]
dde77fad873fc09aca4825971a6bf4ab,safe,313.557311921,[],[],[],[]
4c7eda457bb013264b3a749886513cbf,"['107', '113', '114', '104', '105']",211.980961575,[],[],[],[]
0d379be1f89da0c9303fb0bf0000422d,['114'],5.622071384,[],[],[],[]
177cc199d3f91975d6ef41a0bdc10092,['error'],1.062146192,['error'],['error'],['error'],['error']
3a2ed5b89a493350ceb4433b4acbeb25,"['101', '132']",301.824078342,[],[],[],[]
6da06530ead7f32f03184d306bad327b,error,1550.785493403,[],[],[],[]
c33058cac05024bd675282d6c677b6a6,"['101', '115']",302.618954539,[],[],[],[]
7848a47f82448ab51c7cbd690123fc16,error,373.421360431,[],[],[],[]
705913f4fe05f8e6e445d1e3727d34ca,['error'],1.162161792,['error'],['error'],['error'],['error']
9595c31849e19c65ec423fbd5035a595,"['110', '101', '113', '107', '116']",1290.020328692,[],[],[],[]
59f438041a2de5dbd6af27db74567660,"['110', '107', '113']",312.269861976,[],[],[],[]
dc2bf8112b5a1f0f0e46007727ee4f5b,"['107', '114']",309.426939094,[],[],[],[]
8f7ae3d52fc17414ed141f1cb4fe3ed0,['116'],305.599985626,[],[],[],[]
9eb97ca8a665e2fe3e2f85eb28caaf9d,['error'],1.157122399,['error'],['error'],['error'],['error']
efe5ebd718c6afa9c24214bb4373b40d,['error'],1.500878640,['error'],['error'],['error'],['error']
a25eaf6c167062c2d664cebccee1c0c6,['error'],1.355347488,['error'],['error'],['error'],['error']
17b9b05e6a5a9ebc217790cca9af537d,['error'],1.159911184,['error'],['error'],['error'],['error']
5b2d5d9f0b175c925807af7945344b72,['error'],1.330206918,['error'],['error'],['error'],['error']
ebf9a12353f50c3020be7a9e435cccd4,['error'],1.480578039,['error'],['error'],['error'],['error']
0d45253014762b2d7f59265e47c70f34,['error'],1.058912046,['error'],['error'],['error'],['error']
dfb5e171d127be05bb85ece327756da5,"['105', '114', '107']",623.817427105,[],[],[],[]
7dd18947d3efac54b62c6a39ba041466,"['110', '101']",301.512270240,[],[],[],[]
ec3a556742f883e7d185dc9d92b2e517,['110'],14.350785483,[],[],[],[]
965d1c5fdf46282f799cc3bb7e29770d,['110'],331.318459175,[],[],[],[]
c95eab7cb390c02c35b58527b2853485,"['105', '107', '114']",825.793924079,[],[],[],[]
51b82cd091f192493f43dd2934e1b2fc,['101'],18.648922477,[],[],[],[]
d13fdf3c09cdc6be10c4a23c84872801,"['116', '105', '101', '107']",439.972381634,[],[],[],[]
25da2b1b1e77bba58cf234eac71ad996,safe,4.740641980,[],[],[],[]
f643dbc3bfb94b20c1b275ca79c8646e,safe,3.251164581,[],[],[],[]
36a8d214d776783849bbd6c36d8efd3c,safe,4.854848080,[],[],[],[]
01dd4a2eacf1f751bcf9070bca20c3a2,"['107', '114', '105']",20.085263713,[],[],[],[]
cfc47ebc88ae67c25c2961c2f9aca2a6,['error'],1.050009651,['error'],['error'],['error'],['error']
486df61daddf1427e8c3271b508d554a,"['101', '115']",303.305548703,[],[],[],[]
43b3a5495b7c935c55cc97f0d62111b5,['114'],390.491318284,[],[],[],[]
6b6a8dfd8e972fc8210eb8c8350036d3,['error'],4.690636283,['error'],['error'],['error'],['error']
b20557f8492c066371c4b71436181689,['110'],1134.096293440,[],[],[],[]
814a9f9ceedc8c5059d301ce58bc3a51,"['114', '105', '113', '107', '104']",302.462713576,[],[],[],[]
82f07116ae65b2cfbb79bb9b0b985a56,['error'],1.069631504,['error'],['error'],['error'],['error']
2596839d2345f66c2722d4cfed4eec5e,['error'],1.053039627,['error'],['error'],['error'],['error']
937fce5301f17228271e13f48fc9ac89,safe,2.319266859,[],[],[],[]
b1523f4fa53a0d4a093da369e2e796b2,['error'],1.065770336,['error'],['error'],['error'],['error']
196fdafa09f4801b6d5ff867976a19c3,"['101', '116', '105']",692.929952909,[],[],[],[]
d8fde2db7a33dfd514317f4d1be94f63,"['114', '107']",623.582984543,[],[],[],[]
91839164afb8f5cca082e9b4bf03d43d,"['110', '107', '113']",309.520678307,[],[],[],[]
98a6aaebae6d769ed139c7f6f790b474,"['115', '110', '105', '114']",340.136724305,[],[],[],[]
0eb1fc37f587269ee4b223e2eb439acc,"['110', '107']",583.694043491,[],[],[],[]
b79acb07be86c013a5a860ed1f3df20e,['114'],330.994920370,[],[],[],[]
f0f4963676f6caf31ce911ac8132321e,['error'],1.008057328,['error'],['error'],['error'],['error']
feb17ef91c400af0157e66dab2d90ec9,"['101', '110']",310.287373900,[],[],[],[]
362ebb645a4a9974a6fc143867e8ed3e,safe,3.492318072,[],[],[],[]
0761a37c97dccdc9d7f9d036e8588207,['114'],376.261938905,[],[],[],[]
168c5801595d4c0592a76a52a2638e0e,['error'],1.233662594,['error'],['error'],['error'],['error']
21710e27b1c3edac6f77eab471f72c08,"['107', '113', '120']",672.586384181,[],[],[],[]
b8b90e17d4c41be7659648aa3d1ba7f6,safe,1.044327881,[],[],[],[]
fcdd06c3d73f2425c50916d0116ae936,safe,346.241706151,[],[],[],[]
0689868d0f2bb3d567f68060207b0c84,['error'],1.380362405,['error'],['error'],['error'],['error']
eeb8a715772f7bb64bc4c900eb83b124,"['116', '120', '110']",319.609383850,[],[],[],[]
7f952b5e12ba42f73e89998f14c1c7f6,"['101', '116', '110']",337.620690987,[],[],[],[]
5ed7a351b37a1f783a692e7711c97fa2,['error'],1.135408321,['error'],['error'],['error'],['error']
7167040d12494e69e1c42de4b0f8bea2,error,30.330806394,[],[],[],[]
48c0387aafc434bc6f6109af85a22e87,"['101', '115']",305.955463985,[],[],[],[]
838c6d19738bee6a6a8a3ab47997fe90,['error'],2.849486044,['error'],['error'],['error'],['error']
967ce62c4cc1c383c19f985120904af9,"['110', '107', '113']",314.361453515,[],[],[],[]
2ad455fca27f80c82c8003151942be9a,['110'],9.361394645,[],[],[],[]
a165ee7c076de1c22d895f6e6073b589,['error'],1.028978695,['error'],['error'],['error'],['error']
1cf4ed67642a496429b5e106368e4a23,safe,1.625713887,[],[],[],[]
698fe22adf47361ab45d0d3fc6a93c56,['113'],304.945809062,[],[],[],[]
01d6874c297e4148ee3263503ff762b8,['107'],309.805424233,[],[],[],[]
64a4eb4ded65b90d989f9647eba6723b,"['107', '105']",635.975067609,[],[],[],[]
6ff3f276e05c6d074f0a187cca966738,safe,313.608143464,[],[],[],[]
cd3bbc46c2f6bec35d23c8b660bf901a,['error'],1.029123515,['error'],['error'],['error'],['error']
e035e825d28b503493e822254b0a89ae,"['101', '115']",27.819849218,[],[],[],[]
feab7240252dbd4790990a2e68935e12,['error'],1.031390531,['error'],['error'],['error'],['error']
65f9a69efef994274c0cc42977a85bd9,"['110', '116']",308.624690533,[],[],[],[]
0915cc5a3af79fd77f0e6fa6f9cea662,['101'],305.532281514,[],[],[],[]
c420d62262bfa2887901c07236c1d959,error,64.144682655,[],[],[],[]
0dbc325aa6f6923e3a4a925e3830c38a,"['101', '116', '110', '114', '105']",351.632963710,[],[],[],[]
2906b81bd1cfedb11b52f75ca551985e,"['110', '120', '107', '106', '114', '105']",307.434836740,[],[],[],[]
d099798ce13d85be5a7c3ba32762a326,['101'],4.999154764,[],[],[],[]
70aba84981c52bbc3c9bb6dde5a2b5bb,['error'],1.044233712,['error'],['error'],['error'],['error']
b85717bcac15ccc2af8357c1f523838d,"['114', '110']",327.263618560,[],[],[],[]
8946eeeafec2cc7c5ca9b5e50cd3e3e2,['error'],1.469067657,['error'],['error'],['error'],['error']
64b3aa71d2bab8ead82685032f4ac6b1,error,11.979971034,[],[],[],[]
b59abac003c7fbf806d57f7172e2424d,['error'],1.040592688,['error'],['error'],['error'],['error']
4d260e06d4353d45acea48b899368753,"['110', '120', '116']",322.339792720,[],[],[],[]
d1f0d1d3dccf1619e4a321e67b66671d,['107'],350.395970434,[],[],[],[]
c228eaf30e8e8835e44573b39fcfd4ea,['107'],308.754781097,[],[],[],[]
32d54e0c46c0cc27ccb8a307528c0b4b,['error'],1.343032770,['error'],['error'],['error'],['error']
4e8ba79cce0f0e6dd028949c17072d38,['error'],1.080567127,['error'],['error'],['error'],['error']
eeec1e8a9be3b58748c8e9f28342e429,"['110', '107', '116', '101']",1442.613312936,[],[],[],[]
f305df0ff73ae95c5c3f01a83b0316a2,['123'],149.014205222,[],[],[],[]
0604b890264f54a43360077307c8be7f,['110'],2.596726236,[],[],[],[]
bf78f99f096987ca444f6a8ea28142cb,['error'],1.241916251,['error'],['error'],['error'],['error']
a79ec22b241e52baa50d4e1ec4c8490c,safe,609.347633411,[],[],[],[]
e804c36ca855c38c944c8e1091b5254c,"['116', '114', '113']",304.288972247,[],[],[],[]
340daca582888b6c24ef4b363ff3fad9,['error'],1.243495832,['error'],['error'],['error'],['error']
3de2fba1fb4c173089352b777e78ad0c,"['110', '116', '101']",505.245047940,[],[],[],[]
273d60e1f34f2dfbb2e6bc4126de6e7b,"['107', '116', '101', '110']",799.786828938,[],[],[],[]
d232016d1f76ff94f89450c4b897964f,['error'],1.064035386,['error'],['error'],['error'],['error']
da4c5eb90780078af0c90ee0fe6a68ab,"['107', '104', '114', '105', '113']",302.359074761,[],[],[],[]
