id,MAIAN_1,MAIAN_2,MAIAN_3,MAIAN_4,MAIAN_5,MAIAN_6,MAIAN_7,MAIAN_8,MAIAN_9,MAIAN_10,Mythril_1,Mythril_2,Mythril_3,Mythril_4,Mythril_5,Mythril_6,Mythril_7,Mythril_8,Mythril_9,Mythril_10,Semgrep_1,Semgrep_2,Semgrep_3,Semgrep_4,Semgrep_5,Semgrep_6,Semgrep_7,Semgrep_8,Semgrep_9,Semgrep_10,Slither_1,Slither_2,Slither_3,Slither_4,Slither_5,Slither_6,Slither_7,Slither_8,Slither_9,Slither_10,Solhint_1,Solhint_2,Solhint_3,Solhint_4,Solhint_5,Solhint_6,Solhint_7,Solhint_8,Solhint_9,Solhint_10,VeriSmart_1,VeriSmart_2,VeriSmart_3,VeriSmart_4,VeriSmart_5,VeriSmart_6,VeriSmart_7,VeriSmart_8,VeriSmart_9,VeriSmart_10
008ee0364adf0932325253f494e9851b,,1,,,0,,,,,,1,0,0,0,1,0,0,0,,1,0,0,0,,,0,,0,,1,0,0,1,0,0,0,,0,,1,0,1,,0,0,0,,0,,1,,1,1,,,,,,,
0120a2934d0ffe4b904830fe899f554b,,0,,,0,,,,,,1,1,0,1,1,0,1,0,,0,0,0,0,,,0,,0,,0,0,1,0,1,0,0,,0,,1,0,0,,1,0,0,,0,,1,,0,0,,,,,,,
01affacb32dcc51263a8bd96d85c0929,,0,,,0,,,,,,0,1,1,0,0,0,1,0,,1,0,0,0,,,0,,0,,1,0,1,0,0,0,0,,0,,1,0,1,,0,1,0,,0,,1,,0,1,,,,,,,
01ba843f6c182b199f84e31c24935fc1,,0,,,0,,,,,,0,0,0,0,0,0,1,0,,1,0,0,0,,,0,,0,,1,0,1,1,0,0,0,,0,,1,0,0,,0,0,0,,0,,1,,1,1,,,,,,,
01d3a06244c775067a25e643e2e3af73,,0,,,0,,,,,,0,0,1,0,0,0,0,0,,1,0,0,0,,,0,,0,,1,0,0,0,0,0,0,,0,,1,0,1,,0,0,0,,0,,1,,0,1,,,,,,,
01d6874c297e4148ee3263503ff762b8,,0,,,0,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,0,0,0,0,0,0,,0,,1,0,0,,0,0,0,,0,,1,,0,1,,,,,,,
01dd4a2eacf1f751bcf9070bca20c3a2,,0,,,0,,,,,,1,1,0,0,0,0,1,0,,0,0,0,0,,,0,,0,,1,1,1,0,0,0,0,,0,,1,0,1,,0,0,0,,0,,1,,0,0,,,,,,,
023f3948c8f45b566e362749fd58f978,,0,,,0,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,,,0,,0,,1,1,0,0,1,0,0,,0,,1,1,1,,1,1,0,,0,,1,,0,1,,,,,,,
0345fd45c66b19acd3d1ea62659fe7c6,,0,,,0,,,,,,0,0,0,1,0,0,0,0,,0,0,0,0,,,0,,0,,0,0,1,0,1,0,0,,0,,1,0,1,,1,0,0,,0,,1,,0,0,,,,,,,
037b28dd4a4145b2363c3e823896d5ba,,0,,,0,,,,,,1,0,0,1,1,0,0,0,,0,0,0,0,,,0,,0,,1,0,0,0,1,1,0,,0,,1,0,1,,1,0,0,,0,,1,,0,0,,,,,,,
038fd9b9bdfc5609cc410cc8f022da05,,0,,,0,,,,,,1,1,0,0,1,0,1,0,,1,0,0,0,,,0,,0,,1,1,1,0,0,0,0,,0,,1,0,0,,0,0,0,,0,,1,,0,0,,,,,,,
03aa8321f3609a299aa0cde2ee8a8e3b,,0,,,0,,,,,,0,0,1,0,0,0,0,1,,1,0,0,0,,,0,,0,,1,0,0,1,0,1,0,,1,,1,0,1,,0,0,0,,1,,1,,1,1,,,,,,,
