Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,False,663,56,0.0,0,607,0,56,0.0,
TestSet.csv,Access Control,True,True,663,77,75.32467532467533,58,267,319,19,0.7532467532467533,0.15384615384615385
TestSet.csv,Arithmetic,True,True,663,46,97.82608695652173,45,260,357,1,0.9782608695652174,0.11194029850746269
TestSet.csv,Unchecked Return Values,True,False,663,117,0.0,0,546,0,117,0.0,
TestSet.csv,DoS,True,False,663,38,0.0,0,625,0,38,0.0,
TestSet.csv,Bad Randomness,True,False,663,5,0.0,0,658,0,5,0.0,
TestSet.csv,Front-Running,True,False,663,35,0.0,0,628,0,35,0.0,
TestSet.csv,Time manipulation,True,False,663,35,0.0,0,628,0,35,0.0,
