Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,852,78,85.8974358974359,67,591,183,11,0.8589743589743589,0.268
TestSet.csv,Access Control,True,True,852,101,81.1881188118812,82,451,300,19,0.8118811881188119,0.21465968586387435
TestSet.csv,Arithmetic,True,True,852,66,84.84848484848484,56,592,194,10,0.8484848484848485,0.224
TestSet.csv,Unchecked Return Values,True,True,852,166,56.024096385542165,93,674,12,73,0.5602409638554217,0.8857142857142857
TestSet.csv,DoS,True,True,852,43,30.23255813953488,13,733,76,30,0.3023255813953488,0.14606741573033707
TestSet.csv,Bad Randomness,True,True,852,6,16.666666666666664,1,819,27,5,0.16666666666666666,0.03571428571428571
TestSet.csv,Front-Running,True,True,852,54,79.62962962962963,43,575,223,11,0.7962962962962963,0.16165413533834586
TestSet.csv,Time manipulation,True,True,852,54,83.33333333333334,45,697,101,9,0.8333333333333334,0.3082191780821918
