Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,1159,147,46.25850340136054,68,736,276,79,0.46258503401360546,0.19767441860465115
TestSet.csv,Access Control,True,True,1159,107,85.98130841121495,92,261,791,15,0.8598130841121495,0.10419026047565119
TestSet.csv,Arithmetic,True,False,1159,68,0.0,0,1091,0,68,0.0,
TestSet.csv,Unchecked Return Values,True,True,1159,180,73.33333333333333,132,740,239,48,0.7333333333333333,0.3557951482479784
TestSet.csv,DoS,True,True,1159,48,29.166666666666668,14,961,150,34,0.2916666666666667,0.08536585365853659
TestSet.csv,Bad Randomness,True,True,1159,7,42.857142857142854,3,1121,31,4,0.42857142857142855,0.08823529411764706
TestSet.csv,Front-Running,True,False,1159,55,0.0,0,1104,0,55,0.0,
TestSet.csv,Time manipulation,True,True,1159,56,98.21428571428571,55,815,288,1,0.9821428571428571,0.16034985422740525
