Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,1153,145,0.6896551724137931,1,1000,8,144,0.006896551724137931,0.1111111111111111
TestSet.csv,Access Control,True,True,1153,108,2.7777777777777777,3,1045,0,105,0.027777777777777776,1.0
TestSet.csv,Arithmetic,True,True,1153,68,0.0,0,1085,0,68,0.0,
TestSet.csv,Unchecked Return Values,True,False,1153,180,0.0,0,973,0,180,0.0,
TestSet.csv,DoS,True,False,1153,48,0.0,0,1105,0,48,0.0,
TestSet.csv,Bad Randomness,True,True,1153,7,0.0,0,1137,9,7,0.0,0.0
TestSet.csv,Front-Running,True,False,1153,55,0.0,0,1098,0,55,0.0,
TestSet.csv,Time manipulation,True,False,1153,56,0.0,0,1097,0,56,0.0,
