Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,1164,147,59.863945578231295,88,712,305,59,0.5986394557823129,0.22391857506361323
TestSet.csv,Access Control,True,True,1164,108,79.62962962962963,86,612,444,22,0.7962962962962963,0.16226415094339622
TestSet.csv,Arithmetic,True,True,1164,68,61.76470588235294,42,919,177,26,0.6176470588235294,0.1917808219178082
TestSet.csv,Unchecked Return Values,True,True,1164,180,73.33333333333333,132,775,209,48,0.7333333333333333,0.3870967741935484
TestSet.csv,DoS,True,True,1164,48,37.5,18,1023,93,30,0.375,0.16216216216216217
TestSet.csv,Bad Randomness,True,True,1164,7,14.285714285714285,1,1125,32,6,0.14285714285714285,0.030303030303030304
TestSet.csv,Front-Running,True,True,1164,55,78.18181818181819,43,886,223,12,0.7818181818181819,0.16165413533834586
TestSet.csv,Time manipulation,True,True,1164,56,94.64285714285714,53,879,229,3,0.9464285714285714,0.1879432624113475
