Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,1063,129,78.29457364341084,101,557,377,28,0.7829457364341085,0.2112970711297071
TestSet.csv,Access Control,True,True,1063,96,82.29166666666666,79,448,519,17,0.8229166666666666,0.13210702341137123
TestSet.csv,Arithmetic,True,True,1063,63,9.523809523809524,6,905,95,57,0.09523809523809523,0.0594059405940594
TestSet.csv,Unchecked Return Values,True,True,1063,161,73.91304347826086,119,712,190,42,0.7391304347826086,0.3851132686084142
TestSet.csv,DoS,True,True,1063,43,60.46511627906976,26,863,157,17,0.6046511627906976,0.14207650273224043
TestSet.csv,Bad Randomness,True,True,1063,6,16.666666666666664,1,974,83,5,0.16666666666666666,0.011904761904761904
TestSet.csv,Front-Running,True,False,1063,47,0.0,0,1016,0,47,0.0,
TestSet.csv,Time manipulation,True,True,1063,52,98.07692307692307,51,807,204,1,0.9807692307692307,0.2
