Base,Label,In Base,Detectable By Tool,Base Size,Positive No,Coverage,TP,TN,FP,FN,Recall,Precision
TestSet.csv,Reentrancy,True,True,1164,147,78.91156462585033,116,537,480,31,0.7891156462585034,0.19463087248322147
TestSet.csv,Access Control,True,True,1164,108,97.22222222222221,105,120,936,3,0.9722222222222222,0.10086455331412104
TestSet.csv,Arithmetic,True,True,1164,68,94.11764705882352,64,624,472,4,0.9411764705882353,0.11940298507462686
TestSet.csv,Unchecked Return Values,True,True,1164,180,74.44444444444444,134,711,273,46,0.7444444444444445,0.32923832923832924
TestSet.csv,DoS,True,True,1164,48,64.58333333333334,31,820,296,17,0.6458333333333334,0.09480122324159021
TestSet.csv,Bad Randomness,True,True,1164,7,71.42857142857143,5,1051,106,2,0.7142857142857143,0.04504504504504504
TestSet.csv,Front-Running,True,True,1164,55,78.18181818181819,43,886,223,12,0.7818181818181819,0.16165413533834586
TestSet.csv,Time manipulation,True,True,1164,56,98.21428571428571,55,852,256,1,0.9821428571428571,0.17684887459807075
